speaker,text,label
NATH, Over,React.Rejoinder.Confront.Challenge.Detach
NATH, do I have another down here or just the one i.,React.Rejoinder.Support.Track.Clarify
KATH, Um no. Just one.,React.Respond.Confront.Reply.Disagree
NATH,Okay,React.Respond.Support.Register
NATH,three and square root of three over square root of three and you get,React.Rejoinder.Confront.Challenge.Rebound
KATH, square root of six.,React.Rejoinder.Support.Response.Repair
NATH, Yeah.,React.Respond.Support.Reply.Agree
NATH,Over three.,Sustain.Continue.Append.Elaborate
KATH, Is that right ?,React.Rejoinder.Support.Track.Confirm
NATH, I doubt it. I really do.,React.Respond.Confront.Reply.Disawow
NATH,I'm not kidding.,Sustain.Continue.Prolong.Elaborate
KATH, You can't.,React.Rejoinder.Confront.Challenge.Counter
KATH, You can't multiply square roots like that,React.Rejoinder.Confront.Challenge.Counter
KATH, can you ?,React.Rejoinder.Support.Track.Confirm
KATH, Square root of two times square root of three is square root of six is it ?,React.Rejoinder.Support.Track.Confirm
NATH, Yeah.,React.Respond.Support.Reply.Agree
KATH,Okay.,React.Respond.Support.Register
KATH,Well then that's fine.,React.Respond.Support.Develop.Enhance
KATH,Then that is right.,Sustain.Continue.Prolong.Enhance
NATH, Isn't that.,React.Rejoinder.Support.Track.Check
NATH,You can do that.,React.Respond.Support.Develop.Elaborate
KATH,Yeah.,React.Respond.Support.Reply.Affirm
NATH,Cause that's the same way you're multiplying there square root of nine,React.Respond.Support.Develop.Enhance
NATH, and square root of nine equals three.,Sustain.Continue.Prolong.Extend
KATH, Yeah okay.,React.Respond.Support.Reply.Agree
KATH, Where's the test.,Open.Initiate.Demand.Open.Fact
NATH,There ain't no telling.,React.Respond.Support.Reply.Answer
KATH,You have it.,React.Respond.Support.Develop.Extend
KATH, I mean I have it.,Sustain.Continue.Prolong.Elaborate
KATH, Okay.,React.Respond.Support.Register
KATH,The next one is,Sustain.Continue.Prolong.Extend
KATH, five ex times ex minus one,Sustain.Continue.Append.Extend
NATH, Is that it ?,React.Rejoinder.Support.Track.Check
NATH, um.,React.Respond.Support.Engage
KATH, equals two times one minus ex.,React.Rejoinder.Support.Response.Resolve
NATH,Leah.,React.Respond.Support.Register
NATH,Two times one minus ex ?,React.Rejoinder.Support.Track.Check
KATH,Yeah.,React.Respond.Support.Reply.Affirm
KATH,And that's easy,React.Respond.Support.Develop.Extend
KATH,you can do that.,Sustain.Continue.Prolong.Elaborate
NATH,Oh this is easy.,React.Respond.Support.Reply.Agree
NATH, Ex squared.,Sustain.Continue.Append.Elaborate
NATH, Please say this will factor ?,React.Rejoinder.Support.Track.Confirm
NATH,Will it ?,React.Rejoinder.Support.Track.Confirm
KATH,Na you do it.,React.Respond.Confront.Reply.Disagree
NATH,Well,React.Respond.Support.Register
NATH, I mean that's just wasting time.,React.Respond.Support.Develop.Elaborate
NATH, Cause if it's not.,Sustain.Continue.Prolong.Enhance
KATH,Yeah.,React.Respond.Support.Reply.Affirm
NATH,It does ?,React.Rejoinder.Support.Track.Check
KATH,Mhm.,React.Respond.Support.Reply.Affirm
NATH,One and negative twofifths ?,React.Rejoinder.Support.Track.Clarify
KATH, Mhm.,React.Respond.Support.Reply.Affirm
NATH,And I can always put those back up into the top.,React.Respond.Support.Develop.Extend
NATH, and and see if they check.,Sustain.Continue.Prolong.Extend
NATH, Right ?,React.Rejoinder.Support.Track.Confirm
NATH, Let me just try the one ?,React.Rejoinder.Support.Track.Probe
NATH, Five,React.Rejoinder.Support.Track.Probe
NATH, I got zero equals zero.,Sustain.Continue.Prolong.Elaborate
KATH, that's right.,React.Respond.Support.Reply.Agree
NATH, And that's one ?,React.Rejoinder.Support.Track.Clarify
KATH,Yeah.,React.Respond.Support.Reply.Affirm
NATH, Zero equals zero equals one.,React.Respond.Support.Develop.Extend
KATH, Okay.,React.Respond.Support.Reply.Agree
NATH, Fingerprint file you got me down.,Open.Initiate.Give.Fact
NATH, Come on.,React.Respond.Support.Engage
KATH, Ex times.,React.Respond.Support.Reply.Answer
NATH,Hang on.,React.Respond.Support.Engage
NATH,Number eight. Ex times.,Sustain.Continue.Append.Extend
KATH,two minus ex.,Sustain.Continue.Append.Extend
NATH,Two minus ex.,React.Respond.Support.Reply.Agree
KATH,is less than or equal to.,Sustain.Continue.Prolong.Extend
NATH,I don't like these.,React.Respond.Support.Develop.Enhance
KATH,three times ex minus four.,React.Respond.Support.Develop.Extend
NATH,Three times ex minus four ?,React.Rejoinder.Support.Track.Check
KATH, Right.,React.Respond.Support.Reply.Affirm
NATH, Alright,React.Respond.Support.Reply.Affirm
NATH, distribute first right ?,React.Rejoinder.Support.Track.Confirm
KATH, Mhm.,React.Respond.Support.Reply.Affirm
NATH,Two ex minus ex squared three ex minus twelve you get,React.Respond.Support.Develop.Extend
NATH, do that side so you get ex,Sustain.Continue.Prolong.Extend
NATH, whoa.,React.Respond.Support.Register
NATH, I don't want to do that.,Sustain.Continue.Prolong.Extend
NATH, Negative ex squared two ex minus two minus ex,Sustain.Continue.Append.Extend
NATH, um plus twelve,Sustain.Continue.Append.Enhance
NATH, Now do you factor this ?,React.Rejoinder.Support.Track.Confirm
NATH,after you do that ?,React.Rejoinder.Support.Track.Clarify
KATH, Yeah.,React.Respond.Support.Reply.Affirm
NATH, Yeah.,React.Respond.Support.Register
NATH, Oh but first I gotta take out that negative one,React.Respond.Support.Develop.Extend
NATH, don't.,React.Rejoinder.Confront.Challenge.Counter
NATH, I mean that negative.,Sustain.Continue.Prolong.Elaborate
KATH,Mhm.,React.Respond.Support.Reply.Affirm
NATH,in front of that ex squared so I just I can multiply that whole side by negative one again though ?,React.Rejoinder.Support.Track.Clarify
KATH, Yeah.,React.Respond.Support.Reply.Affirm
KATH, Then you flip that sign over.,React.Respond.Support.Develop.Enhance
NATH, I have to flip that sign over if I do that ?,React.Rejoinder.Support.Track.Confirm
KATH,Mhm.,React.Respond.Support.Reply.Affirm
NATH, See it's little rules like that that I'm not gonna remember.,React.Rejoinder.Confront.Challenge.Rebound
NATH,So if it's. if it's less than or equal to then and there's minus you have to flip the sign.,Sustain.Continue.Prolong.Enhance
NATH, Okay.,Open.Attend.
NATH,Are you tired ?,Open.Initiate.Demand.Open.Fact
KATH, Not really.,React.Respond.Support.Reply.Answer
KATH, I mean kind of but.,Sustain.Continue.Prolong.Elaborate
NATH,I'm gonna go home in just few minutes.,Open.Initiate.Give.Fact
KATH, Why.,React.Rejoinder.Support.Track.Clarify
NATH, Cause I can work on this at home and let you get some sleep.,React.Rejoinder.Support.Response.Resolve
NATH, Ouch.,Open.Attend.
NATH,Okay.,Open.Attend.
NATH,S so you say ex plus four ? is greater than or equal to zero ?,Open.Initiate.Demand.Closed.Opinion
NATH, So you say ex is greater than or equal to negative four and ex three.,Open.Initiate.Demand.Closed.Opinion
KATH, Or.,React.Respond.Support.Develop.Extend
NATH,Oh,React.Respond.Support.Register
NATH, is that one of the ones where you have to do or ?,React.Rejoinder.Support.Track.Probe
KATH, Yeah.,React.Respond.Support.Reply.Affirm
NATH, And if it's less than do you still do or ?,React.Rejoinder.Support.Track.Probe
KATH,No that's if it's um,React.Respond.Confront.Reply.Disagree
KATH, in the in the in between ?,React.Rejoinder.Support.Track.Confirm
KATH,those two numbers you know ?,Sustain.Continue.Monitor
KATH, If there's like like this one don't look.,Sustain.Continue.Prolong.Extend
KATH,But if there's like ex in the middle.,Sustain.Continue.Prolong.Extend
KATH, Well no that's or.,React.Rejoinder.Confront.Challenge.Counter
KATH, If you have like one number on one side.,Sustain.Continue.Prolong.Elaborate
NATH,Mm.,React.Respond.Support.Register
KATH, and it says.,Sustain.Continue.Prolong.Extend
NATH, Yes.,React.Respond.Support.Register
KATH, greater than or equal to ex.,Sustain.Continue.Prolong.Extend
NATH, like.,Sustain.Continue.Append.Elaborate
KATH, and than that one's less than or equal to...,Sustain.Continue.Append.Extend
NATH, like two is less than or equal to ex.,React.Respond.Support.Develop.Elaborate
KATH, is less than or equal to.,React.Respond.Support.Register
NATH, which is,React.Rejoinder.Support.Track.Clarify
NATH,  less than or equal to .,React.Rejoinder.Support.Track.Confirm
KATH, less.,React.Respond.Support.Reply.Affirm
KATH, less than or equal to.,Sustain.Continue.Append.Elaborate
NATH,six.,React.Rejoinder.Support.Response.Repair
KATH, Right.,React.Respond.Support.Reply.Agree
NATH, So the final.,React.Respond.Support.Develop.Extend
NATH, So that's the answer.,React.Respond.Support.Develop.Enhance
NATH,Right ?,React.Rejoinder.Support.Track.Confirm
KATH, Mhm.,React.Respond.Support.Reply.Affirm
NATH,Number nine.,React.Rejoinder.Confront.Challenge.Rebound
KATH, Okay.,React.Respond.Support.Register
KATH, I don't know this one so.,React.Respond.Confront.Reply.Disawow
NATH, You don't know how to do this one ?,React.Rejoinder.Support.Track.Check
NATH,So we in trouble.,Sustain.Continue.Prolong.Enhance
KATH,Well you apparently knew how to do it.,React.Rejoinder.Confront.Challenge.Rebound
NATH, Did I get it right ?,React.Rejoinder.Support.Track.Confirm
KATH,Well you didn't get the whole thing right.,React.Respond.Confront.Reply.Disagree
KATH,But Well you just missed one part of it.,Sustain.Continue.Prolong.Extend
NATH, So what's that problem.,React.Rejoinder.Support.Track.Clarify
KATH,Um absolute value.,React.Respond.Support.Reply.Answer
NATH, Okay.,React.Respond.Support.Register
KATH,of one half minus ex over three.,Sustain.Continue.Append.Enhance
NATH, Ex over three,React.Respond.Support.Register
NATH, oops. Okay.,React.Respond.Support.Register
KATH, is less,React.Respond.Support.Develop.Extend
KATH, I mean is greater than or equal to twothirds.,Sustain.Continue.Prolong.Elaborate
NATH,Just plain old twothirds ?,React.Rejoinder.Support.Track.Check
KATH, Mhm.,React.Respond.Support.Register
NATH, How do you get rid of the absolute value things ?,React.Rejoinder.Confront.Challenge.Rebound
NATH, Don't you.,React.Rejoinder.Support.Track.Confirm
KATH,I don't.,React.Respond.Support.Reply.Answer
KATH,You put is less than or equal to twothirds. Or is greater than,Sustain.Continue.Prolong.Extend
KATH,I mean is greater than or equal to twothirds,Sustain.Continue.Prolong.Elaborate
KATH,and then don't you have like or is less than and is less than or equal to negative two thirds ?,React.Rejoinder.Support.Track.Clarify
NATH, What ?,React.Rejoinder.Support.Track.Check
NATH,Can I see what I did.,React.Rejoinder.Support.Track.Clarify
KATH, Yeah.,React.Respond.Support.Reply.Affirm
KATH,But when you. when you have absolute value when you take the absolute value off and you put negative twothirds on this side too.,React.Respond.Support.Develop.Enhance
NATH, First I'll just get common denominator.,React.Rejoinder.Confront.Develop.Elaborate
NATH,So I can do that.,React.Respond.Support.Develop.Elaborate
KATH, You can't do it when it's in the absolute value.,React.Rejoinder.Confront.Challenge.Counter
KATH,though.,React.Rejoinder.Confront.Response.Refute
NATH,Well I did right there.,React.Respond.Support.Develop.Extend
NATH,Is that why I missed it ?,React.Rejoinder.Support.Track.Clarify
KATH,But see if you wanna do that then at first you bring.,React.Rejoinder.Confront.Challenge.Rebound
NATH,So I only did one part of it in other words.,React.Respond.Support.Develop.Enhance
KATH, Mhm.,React.Respond.Support.Register
KATH, Just bring. Just bring twothirds over to the other side.,React.Rejoinder.Confront.Challenge.Rebound
KATH,Negative twothirds over to the other side.,Sustain.Continue.Append.Elaborate
NATH, And make it equal to zero ?,React.Rejoinder.Support.Track.Probe
KATH, No.,React.Respond.Confront.Reply.Disagree
KATH, No keep that there,Sustain.Continue.Prolong.Elaborate
KATH,But then have.,Sustain.Continue.Prolong.Extend
NATH,Another one over there ?,React.Rejoinder.Support.Track.Probe
KATH, Yeah,React.Respond.Support.Reply.Affirm
KATH, have is less than or equal to negative two thirds.,Sustain.Continue.Prolong.Elaborate
KATH,And that's not absolute value anymore.,Sustain.Continue.Prolong.Extend
NATH, Well see we've never done it like that.,React.Rejoinder.Confront.Challenge.Rebound
KATH,Let me see.,React.Respond.Support.Engage
KATH,If that's how you do it.,React.Respond.Support.Develop.Elaborate
NATH,I mean I'm sure you probably can do it that way.,Sustain.Continue.Prolong.Elaborate
KATH, I don't know if that's how you do it or not.,Sustain.Continue.Prolong.Elaborate
KATH, Cause I haven't done this in probably about as long as you have.,Sustain.Continue.Prolong.Enhance
KATH, Oops. God.,Open.Attend.
NATH,It's my own fault,React.Rejoinder.Confront.Challenge.Rebound
NATH, I shouldn't have waited. so long to get math over with. I should've got it over with right out right out of high school.,Sustain.Continue.Prolong.Elaborate
KATH, Oo.,Open.Attend.
KATH,A bug.,Open.Initiate.Give.Fact
NATH,Hey Leah.,Open.Attend.
NATH, She looks so tired.,Open.Initiate.Give.Fact
KATH, I know.,React.Respond.Support.Reply.Acknowledge
NATH,She's eating that bug.,React.Respond.Support.Develop.Extend
NATH, Is that what she's doing ?,React.Rejoinder.Support.Track.Confirm
KATH,Yuck. I guess.,React.Respond.Support.Reply.Affirm
KATH, Yeah,Open.Attend.
NATH, You can do it that way ?,React.Rejoinder.Support.Track.Confirm
KATH,Mhm.,React.Respond.Support.Reply.Affirm
NATH, Let me see the pencil.,React.Rejoinder.Confront.Challenge.Rebound
KATH, But then I didn't get what she got.,React.Respond.Support.Develop.Extend
KATH,I guess she.,Sustain.Continue.Prolong.Elaborate
KATH,Yeah you can put it so.,Sustain.Continue.Prolong.Elaborate
KATH, square root of that.,Sustain.Continue.Append.Elaborate
KATH,Oh no it's not gonna work that way.,React.Rejoinder.Confront.Challenge.Counter
KATH,You don't have it in the middle.,Sustain.Continue.Prolong.Enhance
KATH, See I put it in the middle ?,Sustain.Continue.Monitor
KATH,Seven halves is greater than or equal.,Sustain.Continue.Prolong.Elaborate
KATH, But you can't put it in the middle,Sustain.Continue.Prolong.Extend
KATH,cause if it's gonna be. Yeah if it's gonna be greater than that then it's not gonna be less than that.,Sustain.Continue.Prolong.Enhance
KATH, Well I guess it can.,Sustain.Continue.Prolong.Enhance
NATH,God.,React.Respond.Support.Register
NATH, So one way I could do it.,React.Respond.Support.Develop.Enhance
KATH, Well.,React.Respond.Support.Register
KATH,No.,React.Respond.Confront.Reply.Disagree
KATH, Wait minute now.,React.Rejoinder.Confront.Challenge.Rebound
KATH, See look what she did.,React.Rejoinder.Confront.Challenge.Rebound
KATH, She um flipped that sign over.,Sustain.Continue.Prolong.Elaborate
KATH, But uh when you divide by negative two you have to flip all the signs over.,Sustain.Continue.Prolong.Extend
KATH, which you did.,Sustain.Continue.Prolong.Enhance
KATH,Yeah cause you got that right it's right here.,Sustain.Continue.Prolong.Enhance
NATH, Oh gosh.,React.Respond.Support.Register
NATH, You know what,Sustain.Continue.Monitor
NATH, I'm just gonna skip this one.,Sustain.Continue.Prolong.Extend
KATH, No you're not,React.Respond.Confront.Reply.Decline
KATH, you're gonna do it.,Sustain.Continue.Prolong.Elaborate
KATH,Now.,Sustain.Continue.Append.Enhance
NATH, So I can't start by...,React.Rejoinder.Confront.Challenge.Rebound
KATH, Unhunh.,React.Respond.Support.Register
KATH, Not finding common denominator.,React.Rejoinder.Support.Response.Repair
KATH,You have to bring.,Sustain.Continue.Prolong.Elaborate
NATH,Well I can do. find one side by doing that can't I ?,React.Rejoinder.Support.Track.Clarify
KATH, Yeah,React.Respond.Support.Reply.Affirm
KATH,but why don't you just put the other.,Sustain.Continue.Monitor
KATH,once you have negative twothirds on the other side then you can find common.,Sustain.Continue.Prolong.Enhance
KATH,buh buh buh buh common denominator for the whole thing,Sustain.Continue.Append.Elaborate
KATH,and it's gonna be the same denominator.,Sustain.Continue.Prolong.Extend
NATH,Well what's the common denominator of bluh bluh bluh bluh bluh bluh bluh.,React.Rejoinder.Confront.Challenge.Rebound
KATH,I didn't mean that.,React.Rejoinder.Confront.Response.Refute
KATH, I meant once you bring it over there.,Sustain.Continue.Prolong.Elaborate
NATH,I know what you meant.,React.Respond.Support.Reply.Acknowledge
NATH,I don't ever remember us doing anything like that though.,Sustain.Continue.Prolong.Extend
NATH,Well add it onto the other side.,Sustain.Continue.Prolong.Enhance
NATH,There's like way you always can get rid of those absolute value bars.,Sustain.Continue.Prolong.Elaborate
NATH,in problems,Sustain.Continue.Prolong.Enhance
NATH, isn't there ?,React.Rejoinder.Support.Track.Confirm
NATH, Hey.,Sustain.Continue.Monitor
NATH, Can I use some of this ?,React.Rejoinder.Support.Track.Confirm
KATH, Oh. Yeah.,React.Respond.Support.Reply.Affirm
KATH,uMm. See yeah. Here it's absolute values.,React.Rejoinder.Confront.Challenge.Rebound
KATH,Right here.,Sustain.Continue.Append.Enhance
NATH,And it's doing it the way that you were doing it ?,React.Rejoinder.Support.Track.Confirm
KATH, I'm trying to find one like that one ,React.Rejoinder.Support.Response.Acquiesce
NATH, See that's the problem,React.Rejoinder.Confront.Challenge.Rebound
NATH, there's so many different types.,Sustain.Continue.Prolong.Elaborate
NATH,That I'm sitting here worrying about this one right here and there probably won't even be one like this on the test.,Sustain.Continue.Prolong.Extend
KATH, I know.,React.Respond.Support.Reply.Acknowledge
NATH,There'll be different one.,React.Respond.Support.Develop.Elaborate
KATH,So what do you do.,React.Rejoinder.Confront.Challenge.Rebound
KATH,You find inequality with an absolute value in it which,Sustain.Continue.Prolong.Elaborate
KATH, there's one right there.,Sustain.Continue.Prolong.Enhance
KATH, Mhm. See ?,Sustain.Continue.Monitor
KATH,I sure didn't see any in the...,Sustain.Continue.Prolong.Extend
NATH, examples.,React.Rejoinder.Support.Response.Repair
KATH, Hmm. See ?,Sustain.Continue.Monitor
KATH,There's no.,Sustain.Continue.Prolong.Elaborate
KATH,There it is.,React.Rejoinder.Confront.Challenge.Counter
KATH,See ?,Sustain.Continue.Monitor
KATH,Here it is.,Sustain.Continue.Prolong.Elaborate
KATH,Absolute value of that you brought   brought negative four over to the other side.,Sustain.Continue.Prolong.Elaborate
NATH,Okay.,React.Respond.Support.Reply.Agree
KATH,And all that...,React.Respond.Support.Develop.Extend
NATH,See that just proves that she puts problems on there that we've never gone over.,React.Rejoinder.Confront.Challenge.Rebound
NATH, I know we've never done one like that.,Sustain.Continue.Prolong.Elaborate
NATH, where you do that,React.Rejoinder.Support.Track.Clarify
NATH, Can you. Do you wanna do that when it's less than or can you do that when it's greater than too.,React.Rejoinder.Support.Track.Clarify
KATH, Yeah.,React.Respond.Support.Register
KATH,Either way.,React.Respond.Support.Develop.Extend
NATH,So if it's pointed this way you just put another one pointing this way over here.,React.Respond.Support.Develop.Enhance
KATH, Right.,React.Respond.Support.Reply.Agree
NATH, Okay.,React.Respond.Support.Register
KATH, Where'd you get that one.,Open.Initiate.Demand.Open.Fact
KATH, That's big one.,Sustain.Continue.Prolong.Extend
NATH, You're not kidding.,React.Respond.Support.Develop.Enhance
KATH, That's my thumbnail.,React.Respond.Support.Develop.Enhance
NATH,Now I just get common denominator for the whole thing ?,Open.Initiate.Demand.Closed.Opinion
KATH, Mhm. Well,React.Respond.Support.Register
KATH, take out those absolute value things they'll screw you up.,React.Rejoinder.Support.Response.Resolve
NATH, Yeah.,React.Rejoinder.Support.Track.Confirm
NATH,And now this'll be six right ?,React.Rejoinder.Support.Track.Confirm
NATH, Is that right ?,React.Rejoinder.Support.Track.Confirm
KATH,Mhm.,React.Respond.Support.Reply.Affirm
NATH,Now what do you do.,React.Rejoinder.Support.Track.Probe
KATH, Subtract three. from the middle.,React.Respond.Support.Reply.Answer
NATH,And. To which side. To both sides. To both sides ?,React.Rejoinder.Support.Track.Clarify
NATH,Okay.,React.Rejoinder.Support.Response.Acquiesce
NATH, Negative.,React.Rejoinder.Support.Response.Resolve
KATH, two ex.,React.Rejoinder.Support.Response.Repair
NATH, Alright.,React.Respond.Support.Reply.Agree
NATH, To one,Sustain.Continue.Append.Extend
NATH,then after that you have to take out the negatives.,Sustain.Continue.Prolong.Enhance
KATH, Yeah.,React.Respond.Support.Reply.Affirm
KATH, Divide by.,React.Respond.Support.Develop.Extend
KATH, Well just. Divide by negative two.,Sustain.Continue.Prolong.Elaborate
NATH,Oh you can't get that by.,React.Rejoinder.Support.Track.Confirm
NATH,ex by itself ?,React.Rejoinder.Support.Track.Confirm
KATH,Yeah.,React.Respond.Support.Reply.Affirm
KATH,And when you divide by negative.,React.Respond.Support.Develop.Extend
KATH,you have to flip the signs.,React.Respond.Support.Develop.Extend
NATH, Yeah.,React.Respond.Support.Register
NATH, Okay.,React.Respond.Support.Reply.Agree
KATH, And when you do that it's gonna be or.,React.Respond.Support.Develop.Extend
KATH, Because if you look at it,Sustain.Continue.Prolong.Enhance
KATH, cause you know it can't be greater than sevenhalves and less than negative halve at theone half at the same time.,Sustain.Continue.Prolong.Enhance
KATH, So it's gonna be either exis less than or equal to negative one half or.,Sustain.Continue.Prolong.Enhance
NATH,Okay.,React.Respond.Support.Register
NATH,Will you pass me some of that tea please.,Open.Initiate.Demand.Closed.Fact
NATH, Oh thank you.,React.Respond.Support.Reply.Accept
NATH,Number ten.,Open.Attend.
NATH, How many problems are on this test.,Open.Initiate.Demand.Open.Fact
KATH, Twelve.,React.Respond.Support.Reply.Answer
NATH,Oh good.,React.Respond.Support.Register
